Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,
2024-12-02,357.0899963378906,357.0899963378906,360.0,351.1499938964844,352.3800048828125,77986500
2024-12-03,351.4200134277344,351.4200134277344,355.69000244140625,348.20001220703125,351.79998779296875,58267200
2024-12-04,357.92999267578125,357.92999267578125,358.1000061035156,348.6000061035156,353.0,50810900
2024-12-05,369.489990234375,369.489990234375,375.42999267578125,359.5,359.8699951171875,81403600
2024-12-06,389.2200012207031,389.2200012207031,389.489990234375,370.79998779296875,377.4200134277344,81455800
2024-12-09,389.7900085449219,389.7900085449219,404.79998779296875,378.010009765625,397.6099853515625,96359200
2024-12-10,400.989990234375,400.989990234375,409.7300109863281,390.8500061035156,392.67999267578125,97563600
2024-12-11,424.7699890136719,424.7699890136719,424.8800048828125,402.3800048828125,409.70001220703125,102821800
2024-12-12,425.8500061035156,425.8500061035156,426.9200134277344,416.7900085449219,424.8399963378906,35692758
